date,daily_mean_temperature
2023/7/8,27.8
2023/7/9,28.6
2023/7/10,30.2
2023/7/11,29.4
2023/7/12,30.8
2023/7/13,28.0
2023/7/14,27.4
2023/7/15,28.8
2023/7/16,30.2
2023/7/17,31.3
2023/7/18,31.8
2023/7/19,29.7
2023/7/20,28.1
2023/7/21,27.2
2023/7/22,27.2
2023/7/23,27.7
2023/7/24,28.5
2023/7/25,29.8
2023/7/26,31.0
2023/7/27,30.6
2023/7/28,30.4
2023/7/29,30.0
2023/7/30,30.3
2023/7/31,30.7
2023/8/1,26.0
2023/8/2,28.9
2023/8/3,30.2
2023/8/4,31.3
2023/8/5,30.4
2023/8/6,28.6
2023/8/7,29.4
2023/8/8,30.1
2023/8/9,28.2
2023/8/10,29.5
2023/8/11,29.5
2023/8/12,29.7
2023/8/13,27.4
2023/8/14,28.6
2023/8/15,28.6
2023/8/16,28.1
2023/8/17,29.9
2023/8/18,30.0
2023/8/19,30.3
2023/8/20,30.3
2023/8/21,29.8
2023/8/22,28.6
2023/8/23,29.4
2023/8/24,29.5
2023/8/25,29.6
2023/8/26,28.1
2023/8/27,28.0
2023/8/28,29.2
2023/8/29,29.4
2023/8/30,29.6
2023/8/31,29.0
2023/9/1,29.2
2023/9/2,29.6
2023/9/3,29.1
2023/9/4,26.1
2023/9/5,29.3
2023/9/6,27.5
2023/9/7,27.0
2023/9/8,21.9
2023/9/9,24.8
2023/9/10,27.8
2023/9/11,28.1
2023/9/12,27.7
2023/9/13,28.0
2023/9/14,28.2
2023/9/15,27.4
2023/9/16,27.9
2023/9/17,28.7
2023/9/18,28.9
2023/9/19,29.0
2023/9/20,27.2
2023/9/21,26.7
2023/9/22,24.8
2023/9/23,22.1
2023/9/24,22.2
2023/9/25,22.4
2023/9/26,24.6
2023/9/27,25.3
2023/9/28,27.4
2023/9/29,26.3
2023/9/30,25.6
2023/10/1,25.6
2023/10/2,23.3
2023/10/3,22.8
2023/10/4,18.7
2023/10/5,20.0
2023/10/6,20.8
2023/10/7,20.4
2023/10/8,18.1
2023/10/9,15.4
2023/10/10,20.2
2023/10/11,19.8
2023/10/12,19.4
2023/10/13,18.5
2023/10/14,18.2
2023/10/15,14.9
2023/10/16,19.0
2023/10/17,19.5
2023/10/18,18.9
2023/10/19,20.3
2023/10/20,21.8
2023/10/21,19.0
2023/10/22,15.9
2023/10/23,16.7
2023/10/24,17.7
2023/10/25,17.7
2023/10/26,16.9
2023/10/27,17.8
2023/10/28,17.5
2023/10/29,16.3
2023/10/30,16.9
2023/10/31,17.2
2023/11/1,18.0
2023/11/2,18.2
2023/11/3,18.8
2023/11/4,19.7
2023/11/5,20.0
2023/11/6,21.4
2023/11/7,22.3
2023/11/8,17.7
2023/11/9,17.1
2023/11/10,15.5
2023/11/11,13.7
2023/11/12,10.0
2023/11/13,11.1
2023/11/14,12.1
2023/11/15,11.8
2023/11/16,12.9
2023/11/17,11.5
2023/11/18,12.3
2023/11/19,12.1
2023/11/20,12.4
2023/11/21,11.9
2023/11/22,13.4
2023/11/23,14.7
2023/11/24,16.7
2023/11/25,10.5
2023/11/26,7.7
2023/11/27,11.0
2023/11/28,13.9
2023/11/29,11.5
2023/11/30,11.3
2023/12/1,8.7
2023/12/2,8.3
2023/12/3,9.1
2023/12/4,8.7
2023/12/5,8.1
2023/12/6,11.4
2023/12/7,12.9
2023/12/8,12.3
2023/12/9,11.9
2023/12/10,13.0
2023/12/11,13.4
2023/12/12,11.9
2023/12/13,10.8
2023/12/14,10.2
2023/12/15,11.0
2023/12/16,17.0
2023/12/17,11.2
2023/12/18,7.0
2023/12/19,7.0
2023/12/20,8.5
2023/12/21,7.7
2023/12/22,5.3
2023/12/23,5.0
2023/12/24,4.9
2023/12/25,6.3
2023/12/26,7.6
2023/12/27,8.4
2023/12/28,7.0
2023/12/29,7.8
2023/12/30,9.0
2023/12/31,9.2
2024/1/1,9.2
2024/1/2,6.1
2024/1/3,7.4
2024/1/4,9.7
2024/1/5,7.4
2024/1/6,9.1
2024/1/7,8.3
2024/1/8,5.4
2024/1/9,5.4
2024/1/10,7.2
2024/1/11,4.8
2024/1/12,7.1
2024/1/13,5.9
2024/1/14,6.4
2024/1/15,6.3
2024/1/16,3.7
2024/1/17,6.2
2024/1/18,8.5
2024/1/19,10.2
2024/1/20,6.3
2024/1/21,8.1
2024/1/22,10.7
2024/1/23,9.0
2024/1/24,4.5
2024/1/25,4.2
2024/1/26,6.2
2024/1/27,7.2
2024/1/28,6.0
2024/1/29,6.8
2024/1/30,7.7
2024/1/31,9.3
2024/2/1,9.8
2024/2/2,5.0
2024/2/3,6.9
2024/2/4,4.9
2024/2/5,3.0
2024/2/6,3.4
2024/2/7,4.7
2024/2/8,5.7
2024/2/9,6.8
2024/2/10,7.1
2024/2/11,8.1
2024/2/12,7.3
2024/2/13,9.6
2024/2/14,10.9
2024/2/15,14.4
2024/2/16,10.6
2024/2/17,9.0
2024/2/18,13.4
2024/2/19,15.0
2024/2/20,18.1
2024/2/21,8.7
2024/2/22,5.5
2024/2/23,2.8
2024/2/24,5.3
2024/2/25,4.4
2024/2/26,7.8
2024/2/27,7.0
2024/2/28,8.3
2024/2/29,7.6
2024/3/1,9.9
2024/3/2,6.3
2024/3/3,7.5
2024/3/4,9.4
2024/3/5,6.4
2024/3/6,5.6
2024/3/7,6.9
2024/3/8,4.5
2024/3/9,6.1
2024/3/10,6.7
2024/3/11,8.2
2024/3/12,7.8
2024/3/13,9.5
2024/3/14,9.5
2024/3/15,11.8
2024/3/16,14.8
2024/3/17,16.0
2024/3/18,9.5
2024/3/19,8.4
2024/3/20,8.5
2024/3/21,6.5
2024/3/22,7.2
2024/3/23,5.7
2024/3/24,10.2
2024/3/25,11.3
2024/3/26,9.4
2024/3/27,10.9
2024/3/28,10.9
2024/3/29,16.3
2024/3/30,17.8
2024/3/31,19.5
